name,country,lat,lon
New York,US,40.7128,-74.006
Los Angeles,US,34.0522,-118.2437
Chicago,US,41.8781,-87.6298
Houston,US,29.7604,-95.3698
Phoenix,US,33.4484,-112.074
Philadelphia,US,39.9526,-75.1652
San Antonio,US,29.4241,-98.4936
San Diego,US,32.7157,-117.1611
Dallas,US,32.7767,-96.797
Fort Worth,US,32.7555,-97.3308
Austin,US,30.2672,-97.7431
Jacksonville,US,30.3322,-81.6557
Columbus,US,39.9612,-82.9988
Charlotte,US,35.2271,-80.8431
Indianapolis,US,39.7684,-86.1581
San Francisco,US,37.7749,-122.4194
Seattle,US,47.6062,-122.3321
Denver,US,39.7392,-104.9903
Washington,US,38.9072,-77.0369
Boston,US,42.3601,-71.0589
Nashville,US,36.1627,-86.7816
Detroit,US,42.3314,-83.0458
Portland,US,45.5152,-122.6784
Las Vegas,US,36.1699,-115.1398
Miami,US,25.7617,-80.1918
Atlanta,US,33.749,-84.388
Minneapolis,US,44.9778,-93.265
New Orleans,US,29.9511,-90.0715
St. Louis,US,38.627,-90.1994
Kansas City,US,39.0997,-94.5786
Salt Lake City,US,40.7608,-111.891
Albuquerque,US,35.0844,-106.6504
Oklahoma City,US,35.4676,-97.5164
Memphis,US,35.1495,-90.049
Louisville,US,38.2527,-85.7585
Baltimore,US,39.2904,-76.6122
Milwaukee,US,43.0389,-87.9065
Raleigh,US,35.7796,-78.6382
Richmond,US,37.5407,-77.436
Cleveland,US,41.4993,-81.6944
Pittsburgh,US,40.4406,-79.9959
Cincinnati,US,39.1031,-84.512
Buffalo,US,42.8864,-78.8784
Rochester,US,43.1566,-77.6088
Hartford,US,41.7658,-72.6734
Providence,US,41.824,-71.4128
Anchorage,US,61.2181,-149.9003
Honolulu,US,21.3069,-157.8583
Montgomery,US,32.3668,-86.3
Little Rock,US,34.7465,-92.2896
Sacramento,US,38.5816,-121.4944
Dover,US,39.1582,-75.5244
Tallahassee,US,30.4383,-84.2807
Boise,US,43.615,-116.2023
Springfield,US,39.7817,-89.6501
Des Moines,US,41.5868,-93.625
Topeka,US,39.0473,-95.6779
Frankfort,US,38.2009,-84.8733
Baton Rouge,US,30.4515,-91.1871
Augusta,US,44.3106,-69.7795
Annapolis,US,38.9784,-76.4922
Lansing,US,42.7325,-84.5555
Jackson,US,32.2988,-90.1848
Jefferson City,US,38.5767,-92.1735
Helena,US,46.5891,-112.0391
Lincoln,US,40.8136,-96.7026
Carson City,US,39.1638,-119.7674
Concord,US,43.2081,-71.5376
Trenton,US,40.2171,-74.7429
Santa Fe,US,35.687,-105.9378
Albany,US,42.6526,-73.7562
Bismarck,US,46.8083,-100.7837
Harrisburg,US,40.2732,-76.8867
Columbia,US,34.0007,-81.0348
Pierre,US,44.3683,-100.351
Montpelier,US,44.2601,-72.5754
Olympia,US,47.0379,-122.9007
Charleston,US,38.3498,-81.6326
Madison,US,43.0731,-89.4012
Cheyenne,US,41.14,-104.8202
London,GB,51.5074,-0.1278
Paris,FR,48.8566,2.3522
Berlin,DE,52.52,13.405
Madrid,ES,40.4168,-3.7038
Rome,IT,41.9028,12.4964
Amsterdam,NL,52.3676,4.9041
Brussels,BE,50.8503,4.3517
Vienna,AT,48.2082,16.3738
Zurich,CH,47.3769,8.5417
Geneva,CH,46.2044,6.1432
Dublin,IE,53.3498,-6.2603
Lisbon,PT,38.7223,-9.1393
Stockholm,SE,59.3293,18.0686
Oslo,NO,59.9139,10.7522
Copenhagen,DK,55.6761,12.5683
Helsinki,FI,60.1699,24.9384
Warsaw,PL,52.2297,21.0122
Prague,CZ,50.0755,14.4378
Budapest,HU,47.4979,19.0402
Athens,GR,37.9838,23.7275
Istanbul,TR,41.0082,28.9784
Moscow,RU,55.7558,37.6173
Kyiv,UA,50.4501,30.5234
Bucharest,RO,44.4268,26.1025
Belgrade,RS,44.7866,20.4489
Sofia,BG,42.6977,23.3219
Zagreb,HR,45.815,15.9819
Milan,IT,45.4642,9.19
Naples,IT,40.8518,14.2681
Barcelona,ES,41.3851,2.1734
Munich,DE,48.1351,11.582
Hamburg,DE,53.5511,9.9937
Frankfurt,DE,50.1109,8.6821
Cairo,EG,30.0444,31.2357
Alexandria,EG,31.2001,29.9187
Casablanca,MA,33.5731,-7.5898
Tunis,TN,36.8065,10.1815
Algiers,DZ,36.7538,3.0588
Lagos,NG,6.5244,3.3792
Accra,GH,5.6037,-0.187
Nairobi,KE,-1.2921,36.8219
Addis Ababa,ET,9.0054,38.7636
Johannesburg,ZA,-26.2041,28.0473
Cape Town,ZA,-33.9249,18.4241
Durban,ZA,-29.8587,31.0218
Khartoum,SD,15.5007,32.5599
Dar es Salaam,TZ,-6.7924,39.2083
Kinshasa,CD,-4.4419,15.2663
Lusaka,ZM,-15.3875,28.3228
Harare,ZW,-17.8252,31.0335
Kampala,UG,0.3476,32.5825
Tel Aviv,IL,32.0853,34.7818
Jerusalem,IL,31.7683,35.2137
Riyadh,SA,24.7136,46.6753
Jeddah,SA,21.4858,39.1925
Dubai,AE,25.2048,55.2708
Abu Dhabi,AE,24.4539,54.3773
Doha,QA,25.2854,51.531
Kuwait City,KW,29.3759,47.9774
Baghdad,IQ,33.3152,44.3661
Tehran,IR,35.6892,51.389
Karachi,PK,24.8607,67.0011
Lahore,PK,31.5204,74.3587
Islamabad,PK,33.6844,73.0479
Mumbai,IN,19.076,72.8777
Delhi,IN,28.7041,77.1025
New Delhi,IN,28.6139,77.209
Bangalore,IN,12.9716,77.5946
Hyderabad,IN,17.385,78.4867
Chennai,IN,13.0827,80.2707
Kolkata,IN,22.5726,88.3639
Ahmedabad,IN,23.0225,72.5714
Pune,IN,18.5204,73.8567
Jaipur,IN,26.9124,75.7873
Kathmandu,NP,27.7172,85.324
Dhaka,BD,23.8103,90.4125
